street_name,lat,lon
Casciello Drive,41.695156,-72.87593
Quirk Road,41.238567,-73.00822
Summit Road,41.493584,-73.0637
Spruce Drive,41.211014,-73.40752
Railroad Avenue,41.844368,-71.88778
Herman Road,41.8839,-73.07303
Barrie Road,41.593353,-72.49354
Greystone Road,41.356052,-72.75198
Longview Avenue,41.088337,-73.54999
Slater Road,41.94376,-72.3806
Knibloe Hill Road,41.798416,-73.49481
Platner Street,41.75815,-72.88985
Tamarack Road,41.64589,-73.42876
William Street,41.309383,-72.91711
North Main Street,41.532623,-72.05889
Glen Court,41.516045,-72.08865
Louisiana Avenue,41.689022,-72.91905
Wellesley Drive,41.286564,-72.759605
Garland Avenue,41.19358,-73.19382
Magauran Drive,41.98104,-72.3866
Brooklyn Tpke,41.711555,-72.129
Pvt Grounds 2,41.935425,-72.37898
Mission Street,41.04733,-73.54758
Caroline Road,41.24402,-72.8831
Executive Drive,41.698517,-72.85559
West Walk,41.25894,-72.943214
Leetes Island Road,41.2877,-72.75927
Dorothy Road,41.693295,-72.91814
State Highway 287,41.691326,-72.68287
Reservoir Rdg,41.715393,-72.98192
Dorman Road,41.42069,-73.11811
Webatuck Road,41.643574,-73.49199
Grant Place,41.295704,-72.51161
Middlebrook Road,41.776443,-72.735756
Woodridge Drive,41.517605,-72.93106
Sea Meadow Lane,41.30262,-72.12651
Southworth Drive,41.852943,-72.17229
Plankton Street,41.20825,-73.22592
Eastwood Road,41.799244,-72.247795
Compo Road South,41.113926,-73.35663
Emmett Avenue,41.334618,-73.092575
Briar Ridge Drive,41.385887,-73.4119
Livery Street,41.916126,-71.908585
Cider Mill Hts,41.989582,-72.85088
Littlebrook Xing,41.70804,-72.8725
Willow Street,41.434883,-73.10042
Brook Street,41.397198,-73.09315
Sycamore Street,41.099148,-73.39931
Harbor Bluff Lane,41.06437,-73.43579
Elwil Drive,41.147022,-73.339836
Harvard Street,41.19286,-73.20273
Old South Ridge Road,41.451725,-73.36206
Lee Street,41.301,-72.96123
Hunters Rdg,41.685474,-72.47171
3Rd Street,41.271942,-72.55287
Brae Loch Way,41.302704,-73.14488
Olmstead Lane,41.265472,-73.50001
State Highway 142,41.26492,-72.852196
Turcotte Avenue,41.71949,-71.87811
Wright Road,41.82531,-73.16999
Springbrook Lane,41.85295,-72.82975
Meadows,42.031254,-72.560104
Hampton Street,41.33456,-71.928986
June Road,41.68697,-73.34956
Lakeview Passway,41.69674,-73.23004
Stowe Avenue,41.56371,-72.65891
Bradway Road,41.996834,-72.208755
Casterbridge Xing,41.908276,-72.7927
Howard Road,41.839577,-72.211075
River Road,41.234543,-73.108765
Smith Rdg,41.216164,-73.35376
Broad Street,41.33678,-71.90739
Morningmist Road,41.191048,-73.093185
Little Fox Lane,41.454315,-73.22259
Brick Road,41.83617,-73.05009
West Main Street,41.26763,-72.96265
Hillside Court,41.062042,-73.50471
Center Street,41.07595,-73.46977
Lovers Lane,41.430782,-73.45066
Venta Drive,41.39028,-72.814125
Laurel Hts,41.528744,-72.8147
Carriage Crossing Lane,41.586212,-72.70984
Highland Road,41.99698,-71.84377
Robbins Road,41.77153,-72.00339
Morris Avenue,41.686245,-72.91897
Leonard Road,41.36362,-72.94421
Countryside Lane,41.527607,-72.62196
Ward Lane,41.084408,-73.463776
Congdon Road,41.54568,-72.22279
Sears Park,41.590725,-72.50783
Friend Street,41.5272,-73.03743
Sunview Road,41.49785,-72.18552
Florence Road,41.05381,-73.57496
Jameswell Road,41.69911,-72.68148
North Avenue,41.537674,-72.8137
Church Ter,42.02199,-73.32555
Mill Lane West,41.567226,-72.359825
Bellevue Road,41.326317,-72.94564
Forge Road,41.79293,-72.395195
Fairview Avenue,41.67495,-73.004196
Aime Street,41.61916,-72.09705
Red Cedar Drive,41.06664,-73.50242
Welles Street,41.713432,-72.610825
High Wood Road,41.801544,-72.76864
F Street,41.34083,-72.04947
Linda Court,41.495525,-71.9984
Bayberry Road,41.195145,-73.2426
Concetta Lane,41.685696,-72.91616
Fishing Brook Road,41.307514,-72.45936
Spousta Road,41.95453,-72.39365
Colonial Avenue,41.202507,-73.19114
Lindberg Street,41.37524,-73.42871
State Highway 3,41.718548,-72.63275
Ridge Crest Lane,41.365993,-72.89827
West Broad Street,41.1899,-73.13165
Wilton Road,41.15697,-73.37375
State Highway 605,41.528355,-71.97805
Reservoir Road,41.588806,-73.38113
Apple Tree Hill,41.683605,-72.79139
Honey Hill Road,41.11604,-73.564926
North Main Street Exd,41.476223,-72.80877
Windermere Street,41.78479,-72.53511
Mason Avenue,41.58303,-73.086426
Post Street,41.53162,-73.03652
